id		1
location	Rangali House Reef
site		Rangali Island, Maldives
date		27/08/03
time		AM
depth		13.7
divetime	41
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	None
############################################################################
id		2
location	Rangali House Reef
site		Rangali Island, Maldives
date		29/08/03
time		AM
depth		14.2
divetime	47
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	None
############################################################################
id		3
location	Rangali House Reef
site		Rangali Island, Maldives
date		31/08/03
time		AM
depth		15.0
divetime	44
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	None
############################################################################
id		4
location	Rangali House Reef
site		Rangali Island, Maldives
date		31/08/03
time		PM
depth		17.3
divetime	44
tank		alu
pressure	150
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	None
############################################################################
id		5
location	Pineapple Faru
site		Rangali Island, Maldives
date		01/09/03
time		AM
depth		21.3
divetime	46
tank		alu
pressure	180
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		None
comments	Manta rays, lobster (50cm)
############################################################################
id		6
location	Madivaru
site		Rangali Island, Maldives
date		02/09/03
time		AM
depth		22.7
divetime	39
tank		alu
pressure	160
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Strong drift dive
comments	Napoleon (1.2m), turtles (2)
############################################################################
id		7
location	Rangali Housereef Outside
site		Rangali Island, Maldives
date		03/09/03
time		AM
depth		21.6
divetime	44
tank		alu
pressure	190
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Strong surge
comments	Moray eels (2), lobster, tuna, oriental sweetlips school, shark, several fish schools
############################################################################
id		8
location	MV Kudhima (wreck)
site		Rangali Island, Maldives
date		04/09/03
time		AM
depth		25.7
divetime	39
tank		alu
pressure	180
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Wreckdive (40m long with big holes)
comments	Several lionfish hunting glass fish, nurse shark (1.7m), lobsters
############################################################################
id		9
location	Madivaru
site		Rangali Island, Maldives
date		04/09/03
time		AM
depth		23.0
divetime	45
tank		alu
pressure	200
volume		10
air		Air
kilos		4
suit		None
buddy		Kim-Vy Tran
guide		Maeggie Zass
link		https://katzgraber.org/album/album25/index.html
tech		Drift dive
comments	Nurse shark (1.8m), moray eel, stingray, lionfish (2), large barracuda, schools of fish
############################################################################
id		10
location	Bodu Miyaru Gaa Thila
